    REF_GAIN           0     1.09934    0.231134           3
        G511       527.6     1.42394     3738.37      113.29           0
        G512     530.256      1.2916     4159.66      108.48           0
        G513     564.943     1.36219     3000.65     84.7068           0
        G514     561.417      1.1234     3739.64     115.548           0
        G515     655.965     1.51156     4329.78     125.894           0
        G516     615.522     1.47672     2865.77     74.1662           0
        G535     345.627      1.4266     4873.11     161.227           0
        G536     437.903     1.53849     5135.74     146.465           0
        G537     432.491     2.82116     6421.59     174.385           0
        G538     337.935     1.48614     5222.37     202.235           0
        G539     474.834     1.68296     5367.06     138.603           0
        G540     565.041     1.51408     3387.43     115.543           0
        G541     654.697     1.60939     4549.46     130.656           0
        G542     637.084     1.41285     4005.78     119.485           0
        G543     519.376      1.4902        4583     131.461           0
        G544     571.943     1.56616     4151.39     103.782           0
        G545     630.048     1.34088        4919     129.196           0
        G546     582.747     1.23469     4469.95     154.402           0
        G565     435.152     1.50405     4349.91     167.608           0
        G566     542.604     1.64864     7138.55     232.739           0
        G567     386.033     1.64762     4651.96     131.781           0
        G568     475.543     1.34155     4096.57     156.315           0
        G569     362.129     1.54536     4207.58     160.787           0
        G570     514.246     1.62022     5249.28     162.832           0
        G571     605.289     1.65992     4315.82     133.479           0
        G572     646.526     1.48646     4027.24      113.37           0
        G573     627.768     1.42126     2897.84      88.923           0
        G574     626.005     1.36084      6165.3     191.863           0
        G575     535.153     1.36905     3966.69     109.667           0
        G576     562.698     1.28052     3180.47     90.8781           0
        G595     408.774     1.67696     4334.91     169.546           0
        G596     494.356     1.75342     5758.16     162.105           0
        G597     523.092     1.64565     7873.19     293.798           0
        G598     569.652     1.55993     7219.57     267.108           0
        G599     299.934     1.48301     6981.57     253.776           0
        G600     418.594     1.55297     2944.04     132.014           0
        G601     576.361     1.19949     4514.01     122.538           0
        G602     630.577     1.45581     4691.16     133.473           0
        G603     649.315     1.29832     3449.81     87.8363           0
        G604     478.426     1.43013     3691.16     87.0329           0
        G605     457.186     1.28575     5550.82     134.588           0
        G606     397.286     1.27834     7583.59     204.704           0
        G625     477.449     1.48741     6879.19     233.494           0
        G626      311.34     1.38146     7761.26     302.845           0
        G627     505.588     1.60489     5979.08     174.298           0
        G628     416.113     1.39415     4791.98     169.089           0
        G629     452.413     1.32891     6573.02     208.211           0
        G630     487.894     1.37777      6145.5     193.785           0
        G631     343.058     1.27565      4103.1      136.93           0
        G632     496.613     17.9967     6459.59     166.914           0
        G633      497.88     1.29024     3453.16      99.316           0
        G634     529.355     1.20769     4751.68     163.465           0
        G635     587.051     1.52783     4342.13     122.733           0
        G636     407.146     1.43279     3805.45     110.073           0
        G655     496.154     1.57308     6987.27     186.105           0
        G656     448.207     1.72719     4128.45     145.859           0
        G657     444.018     1.51999     4438.09     140.479           0
        G658     458.298     1.70646     6411.97     204.538           0
        G659     588.368     1.75029     4524.02     155.623           0
        G660       563.7     1.85399     4842.43     166.291           0
        G661     631.399     1.56112     3933.09     95.0402           0
        G662     471.529     1.35407     3680.02     97.0485           0
        G663     379.767     1.29242     4672.23       125.6           0
        G664     336.884      1.3188     2976.84     86.3026           0
        G665     474.073     1.49109     3804.44     109.001           0
        G666     511.848    0.935686     3592.68     96.6985           0
        G685     558.159     1.66265     5796.15     198.721           0
        G686     520.871     1.60592     4485.48     160.256           0
        G687     387.282      1.6838     4371.13     194.251           0
        G688      370.76     1.75025      5809.3     174.667           0
        G689     420.274     1.56668     6668.54      184.08           0
        G690     417.928     1.61343     6842.75     221.147           0
        G691     539.714     1.52198      2801.4     98.6814           0
        G692     577.914     1.46982     2695.06     92.5534           0
        G693     607.451     1.43018     4370.54     104.804           0
        G694     443.825     1.46347     3888.57     114.789           0
        G695     325.192     1.40714     4956.16     139.792           0
        G696     350.664     1.25745     5829.11     161.188           0
        G715     509.309     1.60151     7434.48     200.505           0
        G716     476.045     1.57334     7710.94     210.808           0
        G717     515.895     1.44961      6531.1     206.668           0
        G718     573.216     1.74057     5653.72     187.627           0
        G719     418.431     1.42177     4997.29     164.998           0
        G720     451.864     1.56996     5181.99     168.896           0
        G721     472.928     1.46638     3344.99     96.0474           0
        G722     442.918     1.34817     3941.42     124.939           0
        G723     558.251     1.38185      4267.2     107.937           0
        G724     479.983     1.35039     7913.87     274.984           0
        G725     514.025     1.66308      4739.7     146.619           0
        G726      637.49     1.51956     5110.81     145.604           0
        G727     361.197     1.07632     3126.59      105.34           0
        G728     378.197     1.36696     2395.76     102.694           0
        G729     414.635      1.3226     3265.92     100.755           0
        G730     503.718     1.25188     2430.83     74.5921           0
        G731     544.818     1.31266     3022.55     83.9523           0
        G732     451.657     1.34796     1841.35     47.9723           0
        G733     350.804     1.34857        2916     84.5726           0
        G734     308.593     1.56168     3606.28     103.929           0
        G735     347.277     1.46138     3180.19       89.96           0
        G736     528.061     1.15111     3282.82     89.6625           0
        G737     446.899     1.40798     4077.29     117.256           0
        G738     565.414     1.48101     3433.19     87.8381           0
        G739     405.444     1.35578     3104.14     94.9761           0
        G740     574.073     1.41317     3287.56      77.816           0
        G741     487.486     1.32506     4287.02     92.8011           0
        G742      353.39     1.14165     2961.78     95.8396           0
        G743     293.118     1.22363     3184.95      81.253           0
        G744     359.985     1.20196        8215     214.426           8
        G745     441.197     1.13938     1377.25     49.4379           0
        G746     481.721     1.48776     3606.68     106.299           0
        G747     555.696     1.32105     4863.94     139.154           0
        G748     521.988     1.45691     3356.78     96.1768           0
        G749     564.356     1.64271     3077.62     104.717           0
        G750     567.673      1.3932     4307.96      153.12           0
        G751     534.199     1.60907     3486.09     91.5934           0
        G752     686.855      1.7281     3893.91     105.609           0
        G753     402.285     1.48742     2735.96     92.9974           0
        G754     326.076     1.31104     4823.18     163.997           0
        G755     428.254     1.25678     4027.34     126.657           0
        G756     393.933     1.20203     4212.29     115.728           0
        G757     491.606     1.46766      4707.9     143.004           0
        G758     462.421      1.7383     4548.08     125.227           0
        G759      457.09     1.36955      2152.1     76.3176           0
        G760     551.611     1.31596     2006.62     69.1678           0
        G761     499.511     1.37321      4324.1     122.967           0
        G762     245.327     1.26287     3508.99     140.991           0
        G763     385.967     1.84178     4250.59       141.7           0
        G764     431.531     1.75211     1987.34     66.2214           0
        G765     392.957     1.41014     3659.83     117.016           0
        G766     647.187     1.49994     5330.36     115.199           0
        G767     631.946     1.71735     4852.13     135.406           0
        G768     424.105     1.41578     2514.73     76.7228           0
        G769     483.195     1.30174     3530.86     89.4325           0
        G770     572.696     1.27704     3037.16      82.509           0
        G771     452.676     1.20495     3625.45     86.1964           0
        G772     453.566     1.22016     3013.24      99.956           0
        G773     441.943     1.47296     3795.51     102.219           0
        G774     435.516     1.37632     3898.19     116.166           0
        G775     576.792     1.23445     651.714     3.12887           1
        G776     598.673     1.76161     4103.56     103.272           0
        G777     402.983     1.58013     2229.46     84.5027           0
        G778     430.965     1.39648     2851.45     77.4307           0
        G779     449.618     1.35351     2771.86     97.9754           0
        G780     416.558     1.13357     2447.53     76.0847           0
        G781     577.173     1.51957     5053.82     135.617           0
        G782     510.194     1.37461     3347.64     103.387           0
        G783     404.105     1.66121     4342.89     141.203           0
        G784     463.624      1.4037     3054.21     85.0367           0
        G785     258.045     1.63055     4042.79     107.981           0
        G786     423.958     1.44331     3908.92     103.986           0
        G787     384.435     1.33685     4892.11     126.941           0
        G788     361.079     1.34984        2732     76.7383           0
        G789      441.74     1.16971     4320.76     123.903           0
        G790     328.173     1.22856     2292.82     90.5902           0
        G791     399.377      1.3222     2743.61      78.452           0
        G792     499.788     1.12261     2794.45     73.8018           0
        G793      312.71     1.65576     3734.35     111.857           0
        G794     279.601     1.69369     2762.23     95.0604           0
        G795     364.215     1.38321     4414.79     114.728           0
        G796     375.673     1.68644     4222.57     115.888           0
        G797     529.666     1.67715     3124.76     85.0992           0
        G798     404.506     1.37714     3376.76     100.157           0
        G799     224.475     1.28178     3494.39     96.4587           0
        G800     570.651     1.35943     3111.38     86.2023           0
        G801     504.817     1.06709     4531.18     139.264           0
        G802     301.577     1.28547     3339.76     118.825           0
        G803     303.214     1.15541     4239.49     127.058           0
        G804     381.042     1.24212     4533.34     132.124           0
        G805     578.035     1.46429     5270.18     157.322           0
        G806      540.47     1.45331     2808.78     90.2884           0
        G807       544.1     1.66846     3840.82     114.392           0
        G808     558.816     1.31497     3586.14     103.198           0
        G809     452.257     1.62901     2007.66     99.5967           0
        G810     419.571     1.44402     2954.21     107.479           0
        G811     409.703     1.45755     2733.39     95.9747           0
        G812     528.361     1.26628     5631.34     137.468           0
        G813     466.695     1.45223     2976.61     101.785           0
        G814      412.87     1.51266      2255.2     68.4149           0
        G815     455.658     1.35862     3729.03     92.2868           0
        G816     540.677     1.51365     1944.71     67.9556           0
        G817     408.574     1.24554     5498.34     150.256           0
        G818      446.61     1.31846     3131.51      110.02           0
        G819     389.168     2.45123     2847.32     86.0915           0
        G820     530.583       1.388     4117.53     126.018           0
        G821     589.595     1.33332     2689.13     95.4855           0
        G822     418.013     1.31267        3282     131.509           0
        G823     310.082     1.60567     2864.03      101.62           0
        G824     408.404      1.5475     2473.28     118.993           0
        G825     357.243     1.66612      1285.2     53.2058           0
        G826     562.119      1.4525     3547.62     122.212           0
        G827     391.118     1.58479     3857.61     103.383           0
        G828     436.444     1.16067     2313.72     82.1441           0
        G829     566.368     1.47016     5119.72     161.029           0
        G830     507.529     1.28132     5179.94     135.427           0
        G831     520.381     1.28793     2751.26     92.6117           0
        G832     363.412     1.16333     2317.04     77.3865           0
        G833     435.311     1.32735     3100.87     114.196           0
        G834       424.8     1.23094     4361.53     130.594           0
        G835      459.81     1.35221     2554.75     74.2767           0
        G836     484.885     1.17286     3420.88     103.258           0
        G837     556.208     1.34118     4751.82     114.522           0
        G838     506.323     1.43382     2763.43      101.18           0
        G839     557.033     1.30596     2177.26     80.1197           0
        G840     493.648     1.28345     2823.12      89.021           0
        G841     299.666     1.31835     2687.16     83.9338           0
        G842     475.184     1.42248     4201.82     125.766           0
        G843     386.416     1.32698     3033.32     85.8088           0
        G844     559.122     1.35914     3247.96     92.3092           0
        G845     479.443     1.48905     2954.76     86.0387           0
        G846     605.191     1.48747      3834.9     93.7623           0
        G847     487.745     1.39371     1679.85     65.0631           0
        G848     447.175     1.30341     1745.21     49.1589           0
        G849     357.493     1.13874      4888.4     180.274           0
        G850     402.096     1.32254     3500.22     124.861           0
        G851     523.851     1.04334     3305.11     113.344           0
        G852       530.1     1.20031     3092.48     111.334           0
        G853     334.902     1.62258     3224.13      113.01           0
        G854     359.812     1.56825     4161.14     120.679           0
        G855     372.938     1.42889     3792.38     101.851           0
        G856     301.267     1.49876     3500.43     105.644           0
        G857     462.746     1.52272     4526.24     115.077           0
        G858     476.246     1.30875     5701.69       148.1           0
        G859       425.2     1.33794     4443.07     142.234           0
        G860     478.893      1.2602     3848.61     121.658           0
        G861     539.791     1.13424     4302.86     134.004           0
        G862     406.964     1.34007     4462.53     114.123           0
        G863     372.434     1.26333      4692.5     141.631           0
        G864     345.202     1.20739     5726.22      161.46           0
        G865      403.17     1.49396     2035.65     94.2758           0
        G866     434.392     1.41099     3130.89     125.781           0
        G867     447.399     1.52044     3865.86     123.329           0
        G868     481.432     1.41498     2825.37     106.544           0
        G869     523.583     1.42485      4738.9     151.069           0
        G870     575.351     1.49419     2174.06      113.19           0
        G871     517.681     1.16242     5632.73      147.74           0
        G872     426.221     1.35683     4708.45     172.329           0
        G873      438.64     1.28171     3591.71     114.379           0
        G874     369.993     1.28576     4148.52     123.314           0
        G875     340.568       1.121        3772     108.354           0
        G876     535.953     1.35272     2100.55     76.2106           0
        G877     291.105      1.2648     2672.82     92.4116           0
        G878     396.017     1.31948     3230.27     101.609           0
        G879     320.722     1.07852     3999.56     114.776           0
        G880     528.633     1.32904     3572.22     106.005           0
        G881      484.07     1.29622     3913.37     106.617           0
        G882     455.506     1.40417     3816.47     102.377           0
        G883     280.394      1.5236      2356.2     82.5179           0
        G884     350.957     1.30848     3986.71     125.244           0
        G885     295.152     1.17976     4910.12     130.215           0
        G886     453.907     1.41814     2742.26     106.301           0
        G887     420.684     1.38874     4068.24     115.265           0
        G888     359.594     1.20391     4514.07       121.7           0
        G889     460.069     1.38167     4383.35     121.838           0
        G890     586.318     1.36228     3738.65     120.217           0
        G891     273.907      1.4167     3376.13     107.286           0
        G892     274.326     1.06528     5691.36     174.469           0
        G893      344.12     1.06737      4553.5     116.398           0
        G894     397.492    0.974001     3756.52     121.712           0
        G895     503.255     1.38968     4498.34     127.208           0
        G896     545.069     1.57891     1506.86     66.0036           0
        G897     442.214     1.09952     4030.78     125.395           0
        G898     384.519     1.46429     2781.88     122.558           0
        G899     459.113     1.23831     3367.83     104.712           0
        G900     482.137     1.07889     484.322     1.33081           5
          W1     396.983     1.47777     4502.99     90.6187           0
